poly_id,year,month,cooling_monthly_mean,n_points,month_date,poly_elv
7,2021,8,-0.057368228310032895,19,2021-08-01,48.43452548980713
7,2021,9,-0.14525724712171054,19,2021-09-01,48.43452548980713
7,2021,10,-0.1555023193359375,20,2021-10-01,48.43452548980713
7,2021,11,0.7831581517269737,19,2021-11-01,48.43452548980713
7,2021,12,2.5857881244860197,19,2021-12-01,48.43452548980713
7,2022,1,2.911050896895559,19,2022-01-01,48.43452548980713
7,2022,2,2.4488238166360294,17,2022-02-01,48.43452548980713
7,2022,3,2.6670013427734376,20,2022-03-01,48.43452548980713
7,2022,4,3.2194711785567436,19,2022-04-01,48.43452548980713
7,2022,5,3.3857903731496712,19,2022-05-01,48.43452548980713
7,2022,6,-0.24999640969669118,17,2022-06-01,48.43452548980713
7,2022,7,-0.12104877672697369,19,2022-07-01,48.43452548980713
7,2022,8,0.40000152587890625,20,2022-08-01,48.43452548980713
7,2022,9,0.279998779296875,19,2022-09-01,48.43452548980713
7,2022,10,0.344207763671875,19,2022-10-01,48.43452548980713
7,2022,11,0.5222218831380209,18,2022-11-01,48.43452548980713
7,2022,12,0.10420789216694079,19,2022-12-01,48.43452548980713
7,2023,1,-0.19250030517578126,20,2023-01-01,48.43452548980713
7,2023,2,1.3061116536458333,18,2023-02-01,48.43452548980713
7,2023,3,3.6836836965460527,19,2023-03-01,48.43452548980713
7,2023,4,3.852102179276316,19,2023-04-01,48.43452548980713
7,2023,5,4.721581710012336,19,2023-05-01,48.43452548980713
7,2023,6,4.584734464946546,19,2023-06-01,48.43452548980713
7,2023,7,2.0829986572265624,20,2023-07-01,48.43452548980713
7,2023,8,2.0878938373766447,19,2023-08-01,48.43452548980713
7,2023,9,1.608885023328993,18,2023-09-01,48.43452548980713
7,2023,10,-0.3922254774305556,18,2023-10-01,48.43452548980713
7,2023,11,-1.461578369140625,19,2023-11-01,48.43452548980713
7,2023,12,1.0034988403320313,20,2023-12-01,48.43452548980713
7,2024,1,1.18157958984375,19,2024-01-01,48.43452548980713
7,2024,2,1.717222425672743,18,2024-02-01,48.43452548980713
7,2024,3,2.3365020751953125,20,2024-03-01,48.43452548980713
7,2024,4,2.9094720137746712,19,2024-04-01,48.43452548980713
7,2024,5,3.3947320235402962,19,2024-05-01,48.43452548980713
7,2024,6,3.776841013055099,19,2024-06-01,48.43452548980713
7,2024,7,3.3194756758840462,19,2024-07-01,48.43452548980713
7,2024,8,-2.3910586708470394,19,2024-08-01,48.43452548980713
7,2024,9,-1.6452652780633223,19,2024-09-01,48.43452548980713
