interval_from,interval_to,LST_B0_min,LST_B0_max,LST_B0_mean,LST_B0_stDev,LST_B0_sampleCount,LST_B0_noDataCount,poly_id,landcover,elv
2024-04-27,2024-04-28,294.1300048828125,294.1300048828125,294.1300048828125,0.0,65536,422,2,10.0,56.3132438659668
2024-04-28,2024-04-29,292.29998779296875,292.29998779296875,292.29998779296875,0.0,65536,422,2,10.0,56.3132438659668
2024-04-30,2024-05-01,293.8500061035156,293.8500061035156,293.8500061035156,0.0,65536,422,2,10.0,56.3132438659668
2024-05-02,2024-05-03,296.2900085449219,296.2900085449219,296.2900085449219,0.0,65536,422,2,10.0,56.3132438659668
2024-05-04,2024-05-05,289.69000244140625,289.69000244140625,289.69000244140625,0.0,65536,422,2,10.0,56.3132438659668
2024-05-05,2024-05-06,293.9800109863281,293.9800109863281,293.9800109863281,0.0,65536,422,2,10.0,56.3132438659668
2024-05-07,2024-05-08,292.20001220703125,292.20001220703125,292.20001220703125,0.0,65536,422,2,10.0,56.3132438659668
2024-05-09,2024-05-10,292.260009765625,292.260009765625,292.260009765625,0.0,65536,422,2,10.0,56.3132438659668
2024-05-11,2024-05-12,294.8699951171875,294.8699951171875,294.8699951171875,0.0,65536,422,2,10.0,56.3132438659668
2024-05-12,2024-05-13,289.760009765625,289.760009765625,289.760009765625,0.0,65536,422,2,10.0,56.3132438659668
2024-05-13,2024-05-14,296.2099914550781,296.2099914550781,296.2099914550781,0.0,65536,422,2,10.0,56.3132438659668
2024-05-14,2024-05-15,294.3699951171875,294.3699951171875,294.3699951171875,0.0,65536,422,2,10.0,56.3132438659668
2024-05-16,2024-05-17,294.1099853515625,294.1099853515625,294.1099853515625,0.0,65536,422,2,10.0,56.3132438659668
2024-05-18,2024-05-19,297.1000061035156,297.1000061035156,297.1000061035156,0.0,65536,422,2,10.0,56.3132438659668
2024-05-20,2024-05-21,295.07000732421875,295.07000732421875,295.07000732421875,0.0,65536,422,2,10.0,56.3132438659668
2024-05-21,2024-05-22,282.9599914550781,282.9599914550781,282.9599914550781,0.0,65536,422,2,10.0,56.3132438659668
2024-05-23,2024-05-24,295.3900146484375,295.3900146484375,295.3900146484375,0.0,65536,422,2,10.0,56.3132438659668
2024-05-25,2024-05-26,295.05999755859375,295.05999755859375,295.05999755859375,0.0,65536,422,2,10.0,56.3132438659668
2024-05-27,2024-05-28,296.1300048828125,296.1300048828125,296.1300048828125,0.0,65536,422,2,10.0,56.3132438659668
2024-05-28,2024-05-29,294.3699951171875,294.3699951171875,294.3699951171875,0.0,65536,422,2,10.0,56.3132438659668
2024-05-29,2024-05-30,294.1199951171875,294.1199951171875,294.1199951171875,0.0,65536,422,2,10.0,56.3132438659668
2024-05-30,2024-05-31,292.1000061035156,292.1000061035156,292.1000061035156,0.0,65536,422,2,10.0,56.3132438659668
2024-06-01,2024-06-02,296.05999755859375,296.05999755859375,296.05999755859375,0.0,65536,422,2,10.0,56.3132438659668
2024-06-03,2024-06-04,296.80999755859375,296.80999755859375,296.80999755859375,0.0,65536,422,2,10.0,56.3132438659668
2024-06-05,2024-06-06,294.760009765625,294.760009765625,294.760009765625,0.0,65536,422,2,10.0,56.3132438659668
2024-06-06,2024-06-07,287.8900146484375,287.8900146484375,287.8900146484375,0.0,65536,422,2,10.0,56.3132438659668
2024-06-08,2024-06-09,293.2200012207031,293.2200012207031,293.2200012207031,0.0,65536,422,2,10.0,56.3132438659668
2024-06-10,2024-06-11,293.6600036621094,293.6600036621094,293.6600036621094,0.0,65536,422,2,10.0,56.3132438659668
2024-06-12,2024-06-13,294.32000732421875,294.32000732421875,294.32000732421875,0.0,65536,422,2,10.0,56.3132438659668
2024-06-13,2024-06-14,293.8500061035156,293.8500061035156,293.8500061035156,0.0,65536,422,2,10.0,56.3132438659668
2024-06-14,2024-06-15,294.19000244140625,294.19000244140625,294.19000244140625,0.0,65536,422,2,10.0,56.3132438659668
2024-06-15,2024-06-16,287.2699890136719,287.2699890136719,287.2699890136719,0.0,65536,422,2,10.0,56.3132438659668
2024-06-17,2024-06-18,292.0,292.0,292.0,0.0,65536,422,2,10.0,56.3132438659668
2024-06-19,2024-06-20,291.42999267578125,291.42999267578125,291.42999267578125,0.0,65536,422,2,10.0,56.3132438659668
2024-06-21,2024-06-22,290.760009765625,290.760009765625,290.760009765625,0.0,65536,422,2,10.0,56.3132438659668
2024-06-22,2024-06-23,292.2799987792969,292.2799987792969,292.2799987792969,0.0,65536,422,2,10.0,56.3132438659668
2024-06-24,2024-06-25,291.7300109863281,291.7300109863281,291.7300109863281,0.0,65536,422,2,10.0,56.3132438659668
2024-06-26,2024-06-27,291.05999755859375,291.05999755859375,291.05999755859375,0.0,65536,422,2,10.0,56.3132438659668
2024-06-28,2024-06-29,283.9700012207031,283.9700012207031,283.9700012207031,0.0,65536,422,2,10.0,56.3132438659668
2024-06-29,2024-06-30,291.1400146484375,291.1400146484375,291.1400146484375,0.0,65536,422,2,10.0,56.3132438659668
2024-06-30,2024-07-01,295.6199951171875,295.6199951171875,295.6199951171875,0.0,65536,422,2,10.0,56.3132438659668
2024-07-01,2024-07-02,295.510009765625,295.510009765625,295.510009765625,0.0,65536,422,2,10.0,56.3132438659668
2024-07-03,2024-07-04,291.04998779296875,291.04998779296875,291.04998779296875,0.0,65536,422,2,10.0,56.3132438659668
2024-07-05,2024-07-06,284.2900085449219,284.2900085449219,284.2900085449219,0.0,65536,422,2,10.0,56.3132438659668
2024-07-07,2024-07-08,293.9100036621094,293.9100036621094,293.9100036621094,0.0,65536,422,2,10.0,56.3132438659668
2024-07-08,2024-07-09,295.760009765625,295.760009765625,295.760009765625,0.0,65536,422,2,10.0,56.3132438659668
2024-07-10,2024-07-11,293.25,293.25,293.25,0.0,65536,422,2,10.0,56.3132438659668
2024-07-12,2024-07-13,291.5899963378906,291.5899963378906,291.5899963378906,0.0,65536,422,2,10.0,56.3132438659668
2024-07-14,2024-07-15,296.4599914550781,296.4599914550781,296.4599914550781,0.0,65536,422,2,10.0,56.3132438659668
