"interval_from","interval_to","LST_B0_min","LST_B0_max","LST_B0_mean","LST_B0_stDev","LST_B0_sampleCount","LST_B0_noDataCount","poly_id","landcover","elv","uid","check"
2020-07-19,2020-07-20,292.899993896484,292.899993896484,292.899993896484,0,65536,13709,20,30,1385,92,"moved a bit"
2020-07-20,2020-07-21,290.640014648438,290.640014648438,290.640014648438,0,65536,13709,20,30,1385,92,"moved a bit"
2020-07-21,2020-07-22,290.779998779297,290.779998779297,290.779998779297,0,65536,13709,20,30,1385,92,"moved a bit"
2020-07-22,2020-07-23,289.950012207031,289.950012207031,289.950012207031,0,65536,13709,20,30,1385,92,"moved a bit"
2020-07-24,2020-07-25,289.989990234375,289.989990234375,289.989990234375,0,65536,13709,20,30,1385,92,"moved a bit"
2020-07-26,2020-07-27,290.450012207031,290.450012207031,290.450012207031,0,65536,13709,20,30,1385,92,"moved a bit"
2020-07-28,2020-07-29,291.130004882812,291.130004882812,291.130004882812,0,65536,13709,20,30,1385,92,"moved a bit"
2020-07-29,2020-07-30,288.140014648438,288.140014648438,288.140014648438,0,65536,13709,20,30,1385,92,"moved a bit"
2020-07-31,2020-08-01,288.690002441406,288.690002441406,288.690002441406,0,65536,13709,20,30,1385,92,"moved a bit"
2020-08-02,2020-08-03,295.920013427734,295.920013427734,295.920013427734,0,65536,13709,20,30,1385,92,"moved a bit"
2020-08-04,2020-08-05,292.450012207031,292.450012207031,292.450012207031,0,65536,13709,20,30,1385,92,"moved a bit"
2020-08-05,2020-08-06,289.179992675781,289.179992675781,289.179992675781,0,65536,13709,20,30,1385,92,"moved a bit"
2020-08-06,2020-08-07,289.600006103516,289.600006103516,289.600006103516,0,65536,13709,20,30,1385,92,"moved a bit"
2020-08-07,2020-08-08,289.769989013672,289.769989013672,289.769989013672,0,65536,13709,20,30,1385,92,"moved a bit"
2020-08-09,2020-08-10,293.089996337891,293.089996337891,293.089996337891,0,65536,13709,20,30,1385,92,"moved a bit"
2020-08-11,2020-08-12,292.790008544922,292.790008544922,292.790008544922,0,65536,13709,20,30,1385,92,"moved a bit"
2020-08-13,2020-08-14,294.230010986328,294.230010986328,294.230010986328,0,65536,13709,20,30,1385,92,"moved a bit"
2020-08-14,2020-08-15,289.630004882812,289.630004882812,289.630004882812,0,65536,13709,20,30,1385,92,"moved a bit"
2020-08-16,2020-08-17,286.149993896484,286.149993896484,286.149993896484,0,65536,13709,20,30,1385,92,"moved a bit"
2020-08-18,2020-08-19,290.760009765625,290.760009765625,290.760009765625,0,65536,13709,20,30,1385,92,"moved a bit"
2020-08-20,2020-08-21,291.899993896484,291.899993896484,291.899993896484,0,65536,13709,20,30,1385,92,"moved a bit"
2020-08-21,2020-08-22,285.420013427734,285.420013427734,285.420013427734,0,65536,13709,20,30,1385,92,"moved a bit"
2020-08-22,2020-08-23,290.130004882812,290.130004882812,290.130004882812,0,65536,13709,20,30,1385,92,"moved a bit"
2020-08-23,2020-08-24,290.929992675781,290.929992675781,290.929992675781,0,65536,13709,20,30,1385,92,"moved a bit"
2020-08-25,2020-08-26,288.920013427734,288.920013427734,288.920013427734,0,65536,13709,20,30,1385,92,"moved a bit"
2020-08-27,2020-08-28,290.790008544922,290.790008544922,290.790008544922,0,65536,13709,20,30,1385,92,"moved a bit"
2020-08-29,2020-08-30,290.290008544922,290.290008544922,290.290008544922,0,65536,13709,20,30,1385,92,"moved a bit"
2020-08-30,2020-08-31,286.549987792969,286.549987792969,286.549987792969,0,65536,13709,20,30,1385,92,"moved a bit"
2020-09-01,2020-09-02,288.339996337891,288.339996337891,288.339996337891,0,65536,13709,20,30,1385,92,"moved a bit"
2020-09-03,2020-09-04,291.609985351562,291.609985351562,291.609985351562,0,65536,13709,20,30,1385,92,"moved a bit"
2020-09-05,2020-09-06,290.890014648438,290.890014648438,290.890014648438,0,65536,13709,20,30,1385,92,"moved a bit"
2020-09-06,2020-09-07,290.089996337891,290.089996337891,290.089996337891,0,65536,13709,20,30,1385,92,"moved a bit"
2020-09-07,2020-09-08,292.059997558594,292.059997558594,292.059997558594,0,65536,13709,20,30,1385,92,"moved a bit"
2020-09-08,2020-09-09,287.589996337891,287.589996337891,287.589996337891,0,65536,13709,20,30,1385,92,"moved a bit"
2020-09-10,2020-09-11,289.619995117188,289.619995117188,289.619995117188,0,65536,13709,20,30,1385,92,"moved a bit"
2020-09-12,2020-09-13,293.010009765625,293.010009765625,293.010009765625,0,65536,13709,20,30,1385,92,"moved a bit"
2020-09-14,2020-09-15,291.510009765625,291.510009765625,291.510009765625,0,65536,13709,20,30,1385,92,"moved a bit"
2020-09-15,2020-09-16,286.209991455078,286.209991455078,286.209991455078,0,65536,13709,20,30,1385,92,"moved a bit"
2020-09-17,2020-09-18,289.010009765625,289.010009765625,289.010009765625,0,65536,13709,20,30,1385,92,"moved a bit"
2020-09-19,2020-09-20,290.230010986328,290.230010986328,290.230010986328,0,65536,13709,20,30,1385,92,"moved a bit"
2020-09-21,2020-09-22,291.329986572266,291.329986572266,291.329986572266,0,65536,13709,20,30,1385,92,"moved a bit"
2020-09-22,2020-09-23,288.549987792969,288.549987792969,288.549987792969,0,65536,13709,20,30,1385,92,"moved a bit"
2020-09-23,2020-09-24,288.929992675781,288.929992675781,288.929992675781,0,65536,13709,20,30,1385,92,"moved a bit"
2020-09-24,2020-09-25,288.920013427734,288.920013427734,288.920013427734,0,65536,13709,20,30,1385,92,"moved a bit"
2020-09-26,2020-09-27,287.679992675781,287.679992675781,287.679992675781,0,65536,13709,20,30,1385,92,"moved a bit"
2020-09-28,2020-09-29,288.220001220703,288.220001220703,288.220001220703,0,65536,13709,20,30,1385,92,"moved a bit"
2020-09-30,2020-10-01,290.369995117188,290.369995117188,290.369995117188,0,65536,13709,20,30,1385,92,"moved a bit"
2020-10-01,2020-10-02,287.619995117188,287.619995117188,287.619995117188,0,65536,13709,20,30,1385,92,"moved a bit"
2020-10-03,2020-10-04,289.350006103516,289.350006103516,289.350006103516,0,65536,13709,20,30,1385,92,"moved a bit"
2020-10-05,2020-10-06,290.059997558594,290.059997558594,290.059997558594,0,65536,13709,20,30,1385,92,"moved a bit"
2020-10-07,2020-10-08,288.130004882812,288.130004882812,288.130004882812,0,65536,13709,20,30,1385,92,"moved a bit"
2020-10-08,2020-10-09,282.440002441406,282.440002441406,282.440002441406,0,65536,13709,20,30,1385,92,"moved a bit"
2020-10-09,2020-10-10,289.929992675781,289.929992675781,289.929992675781,0,65536,13709,20,30,1385,92,"moved a bit"
2020-10-10,2020-10-11,289.029998779297,289.029998779297,289.029998779297,0,65536,13709,20,30,1385,92,"moved a bit"
2020-10-12,2020-10-13,291.299987792969,291.299987792969,291.299987792969,0,65536,13709,20,30,1385,92,"moved a bit"
2020-10-14,2020-10-15,289.899993896484,289.899993896484,289.899993896484,0,65536,13709,20,30,1385,92,"moved a bit"
2020-10-16,2020-10-17,291.390014648438,291.390014648438,291.390014648438,0,65536,13709,20,30,1385,92,"moved a bit"
2020-10-17,2020-10-18,289.739990234375,289.739990234375,289.739990234375,0,65536,13709,20,30,1385,92,"moved a bit"
2020-10-19,2020-10-20,283.850006103516,283.850006103516,283.850006103516,0,65536,13709,20,30,1385,92,"moved a bit"
2020-10-21,2020-10-22,284.390014648438,284.390014648438,284.390014648438,0,65536,13709,20,30,1385,92,"moved a bit"
2020-10-23,2020-10-24,285.529998779297,285.529998779297,285.529998779297,0,65536,13709,20,30,1385,92,"moved a bit"
2020-10-24,2020-10-25,282.829986572266,282.829986572266,282.829986572266,0,65536,13709,20,30,1385,92,"moved a bit"
2020-10-25,2020-10-26,284.089996337891,284.089996337891,284.089996337891,0,65536,13709,20,30,1385,92,"moved a bit"
2020-10-26,2020-10-27,283.269989013672,283.269989013672,283.269989013672,0,65536,13709,20,30,1385,92,"moved a bit"
2020-10-28,2020-10-29,284.980010986328,284.980010986328,284.980010986328,0,65536,13709,20,30,1385,92,"moved a bit"
2020-10-30,2020-10-31,283.399993896484,283.399993896484,283.399993896484,0,65536,13709,20,30,1385,92,"moved a bit"
2020-11-01,2020-11-02,284.920013427734,284.920013427734,284.920013427734,0,65536,13709,20,30,1385,92,"moved a bit"
2020-11-02,2020-11-03,280,280,280,0,65536,13709,20,30,1385,92,"moved a bit"
2020-11-04,2020-11-05,281.589996337891,281.589996337891,281.589996337891,0,65536,13709,20,30,1385,92,"moved a bit"
2020-11-06,2020-11-07,284.570007324219,284.570007324219,284.570007324219,0,65536,13709,20,30,1385,92,"moved a bit"
2020-11-08,2020-11-09,284.100006103516,284.100006103516,284.100006103516,0,65536,13709,20,30,1385,92,"moved a bit"
2020-11-09,2020-11-10,282.790008544922,282.790008544922,282.790008544922,0,65536,13709,20,30,1385,92,"moved a bit"
2020-11-10,2020-11-11,284.380004882812,284.380004882812,284.380004882812,0,65536,13709,20,30,1385,92,"moved a bit"
2020-11-11,2020-11-12,282.290008544922,282.290008544922,282.290008544922,0,65536,13709,20,30,1385,92,"moved a bit"
2020-11-13,2020-11-14,283.510009765625,283.510009765625,283.510009765625,0,65536,13709,20,30,1385,92,"moved a bit"
2020-11-15,2020-11-16,283.399993896484,283.399993896484,283.399993896484,0,65536,13709,20,30,1385,92,"moved a bit"
2020-11-17,2020-11-18,284.619995117188,284.619995117188,284.619995117188,0,65536,13709,20,30,1385,92,"moved a bit"
2020-11-18,2020-11-19,281.670013427734,281.670013427734,281.670013427734,0,65536,13709,20,30,1385,92,"moved a bit"
2020-11-20,2020-11-21,283.140014648438,283.140014648438,283.140014648438,0,65536,13709,20,30,1385,92,"moved a bit"
2020-11-22,2020-11-23,282.260009765625,282.260009765625,282.260009765625,0,65536,13709,20,30,1385,92,"moved a bit"
2020-11-24,2020-11-25,286.390014648438,286.390014648438,286.390014648438,0,65536,13709,20,30,1385,92,"moved a bit"
2020-11-25,2020-11-26,282.850006103516,282.850006103516,282.850006103516,0,65536,13709,20,30,1385,92,"moved a bit"
2020-11-26,2020-11-27,282.929992675781,282.929992675781,282.929992675781,0,65536,13709,20,30,1385,92,"moved a bit"
2020-11-27,2020-11-28,281.570007324219,281.570007324219,281.570007324219,0,65536,13709,20,30,1385,92,"moved a bit"
2020-11-29,2020-11-30,282.5,282.5,282.5,0,65536,13709,20,30,1385,92,"moved a bit"
2020-12-01,2020-12-02,283.679992675781,283.679992675781,283.679992675781,0,65536,13709,20,30,1385,92,"moved a bit"
2020-12-03,2020-12-04,282.429992675781,282.429992675781,282.429992675781,0,65536,13709,20,30,1385,92,"moved a bit"
2020-12-04,2020-12-05,281.600006103516,281.600006103516,281.600006103516,0,65536,13709,20,30,1385,92,"moved a bit"
2020-12-06,2020-12-07,280.869995117188,280.869995117188,280.869995117188,0,65536,13709,20,30,1385,92,"moved a bit"
2020-12-08,2020-12-09,284.660003662109,284.660003662109,284.660003662109,0,65536,13709,20,30,1385,92,"moved a bit"
2020-12-10,2020-12-11,283.890014648438,283.890014648438,283.890014648438,0,65536,13709,20,30,1385,92,"moved a bit"
2020-12-11,2020-12-12,283.670013427734,283.670013427734,283.670013427734,0,65536,13709,20,30,1385,92,"moved a bit"
2020-12-12,2020-12-13,280.5,280.5,280.5,0,65536,13709,20,30,1385,92,"moved a bit"
2020-12-13,2020-12-14,280.029998779297,280.029998779297,280.029998779297,0,65536,13709,20,30,1385,92,"moved a bit"
2020-12-15,2020-12-16,279.769989013672,279.769989013672,279.769989013672,0,65536,13709,20,30,1385,92,"moved a bit"
2020-12-17,2020-12-18,286.929992675781,286.929992675781,286.929992675781,0,65536,13709,20,30,1385,92,"moved a bit"
2020-12-19,2020-12-20,286.230010986328,286.230010986328,286.230010986328,0,65536,13709,20,30,1385,92,"moved a bit"
2020-12-20,2020-12-21,286.100006103516,286.100006103516,286.100006103516,0,65536,13709,20,30,1385,92,"moved a bit"
2020-12-22,2020-12-23,283.720001220703,283.720001220703,283.720001220703,0,65536,13709,20,30,1385,92,"moved a bit"
2020-12-24,2020-12-25,285.540008544922,285.540008544922,285.540008544922,0,65536,13709,20,30,1385,92,"moved a bit"
2020-12-26,2020-12-27,283.410003662109,283.410003662109,283.410003662109,0,65536,13709,20,30,1385,92,"moved a bit"
2020-12-27,2020-12-28,284.769989013672,284.769989013672,284.769989013672,0,65536,13709,20,30,1385,92,"moved a bit"
2020-12-28,2020-12-29,287.170013427734,287.170013427734,287.170013427734,0,65536,13709,20,30,1385,92,"moved a bit"
2020-12-29,2020-12-30,286.359985351562,286.359985351562,286.359985351562,0,65536,13709,20,30,1385,92,"moved a bit"
2020-12-31,2021-01-01,285.029998779297,285.029998779297,285.029998779297,0,65536,13709,20,30,1385,92,"moved a bit"
