"location","year_month","month_min"
"Altamira",2024-01-01,12.5
"Altamira",2024-02-01,12.5
"Altamira",2024-03-01,12.5
"Altamira",2024-04-01,15.9
"Altamira",2024-05-01,16
"Altamira",NA,11.4
"Ciudad_Neily",2013-05-01,21.91
"Ciudad_Neily",2013-06-01,21.07
"Ciudad_Neily",2013-07-01,21.07
"Ciudad_Neily",2013-08-01,20.93
"Ciudad_Neily",2013-09-01,20.9
"Ciudad_Neily",2013-10-01,21.55
"Ciudad_Neily",2013-11-01,19.97
"Ciudad_Neily",2013-12-01,19.68
"Ciudad_Neily",2014-01-01,20.49
"Ciudad_Neily",2014-02-01,19.27
"Ciudad_Neily",2014-03-01,20.62
"Ciudad_Neily",2014-04-01,20.49
"Ciudad_Neily",2014-05-01,21.9
"Ciudad_Neily",2014-06-01,21.44
"Ciudad_Neily",2014-07-01,21.85
"Ciudad_Neily",2014-08-01,21.48
"Ciudad_Neily",2014-09-01,21.18
"Ciudad_Neily",2014-10-01,21.89
"Ciudad_Neily",2014-11-01,20.29
"Ciudad_Neily",2014-12-01,21.09
"Ciudad_Neily",2015-01-01,20.14
"Ciudad_Neily",2015-02-01,18.38
"Ciudad_Neily",2015-03-01,18.58
"Ciudad_Neily",2015-04-01,20.54
"Ciudad_Neily",2015-05-01,21.6
"Ciudad_Neily",2015-06-01,21.8
"Ciudad_Neily",2015-07-01,22.2
"Ciudad_Neily",2015-08-01,21.9
"Ciudad_Neily",2015-09-01,21.9
"Ciudad_Neily",2015-10-01,21.5
"Ciudad_Neily",2015-11-01,21.4
"Ciudad_Neily",2015-12-01,21.8
"Ciudad_Neily",2016-01-01,20.5
"Ciudad_Neily",2016-02-01,18.5
"Ciudad_Neily",2016-03-01,22
"Ciudad_Neily",2016-04-01,20.4
"Ciudad_Neily",2016-05-01,21.8
"Ciudad_Neily",2016-06-01,21.7
"Ciudad_Neily",2016-07-01,21.4
"Ciudad_Neily",2016-08-01,21.4
"Ciudad_Neily",2016-09-01,20.5
"Ciudad_Neily",2016-10-01,21.4
"Ciudad_Neily",2016-11-01,21.6
"Ciudad_Neily",2016-12-01,19.8
"Ciudad_Neily",2017-01-01,18.4
"Ciudad_Neily",2017-02-01,15.3
"Ciudad_Neily",2017-03-01,18.6
"Ciudad_Neily",2017-04-01,21.1
"Ciudad_Neily",2017-05-01,21.6
"Ciudad_Neily",2017-06-01,21.4
"Ciudad_Neily",2017-07-01,20.8
"Ciudad_Neily",2017-08-01,21.2
"Ciudad_Neily",2017-09-01,21.7
"Ciudad_Neily",2017-10-01,21.5
"Ciudad_Neily",2017-11-01,21.9
"Ciudad_Neily",2017-12-01,19.3
"Ciudad_Neily",2018-01-01,20.4
"Ciudad_Neily",2018-02-01,18.8
"Ciudad_Neily",2018-04-01,23.7
"Ciudad_Neily",2018-05-01,21.8
"Ciudad_Neily",2018-06-01,21.1
"Ciudad_Neily",2018-07-01,21
"Ciudad_Neily",2018-08-01,21.3
"Ciudad_Neily",2018-09-01,21.2
"Ciudad_Neily",2018-10-01,18.7
"Ciudad_Neily",2018-12-01,19.6
"Ciudad_Neily",2019-01-01,18.8
"Ciudad_Neily",2019-02-01,17.6
"Ciudad_Neily",2019-03-01,19.6
"Ciudad_Neily",2019-04-01,21.7
"Ciudad_Neily",2019-05-01,21.6
"Ciudad_Neily",2019-06-01,22.3
"Ciudad_Neily",2019-07-01,21.6
"Ciudad_Neily",2019-08-01,22
"Ciudad_Neily",2019-09-01,21.8
"Ciudad_Neily",2019-10-01,20.9
"Ciudad_Neily",2019-11-01,21.7
"Ciudad_Neily",2019-12-01,21.3
"Ciudad_Neily",2020-01-01,20.5
"Ciudad_Neily",2020-02-01,18.1
"Ciudad_Neily",2020-03-01,19.7
"Ciudad_Neily",2020-04-01,21.8
"Ciudad_Neily",2020-05-01,22.3
"Ciudad_Neily",2020-06-01,21.2
"Ciudad_Neily",2020-07-01,21.2
"Ciudad_Neily",2020-08-01,20.9
"Ciudad_Neily",2020-09-01,21.7
"Ciudad_Neily",2020-10-01,21.3
"Ciudad_Neily",2020-11-01,21
"Ciudad_Neily",2020-12-01,20.5
"Ciudad_Neily",2021-01-01,19.3
"Ciudad_Neily",2021-02-01,19
"Ciudad_Neily",2021-03-01,19.1
"Ciudad_Neily",2021-04-01,21
"Ciudad_Neily",2021-05-01,20.8
"Ciudad_Neily",2021-06-01,21.1
"Ciudad_Neily",2021-07-01,20.8
"Ciudad_Neily",2021-08-01,21.3
"Ciudad_Neily",2021-09-01,21
"Ciudad_Neily",2021-10-01,21.6
"Ciudad_Neily",2021-11-01,21.1
"Ciudad_Neily",2021-12-01,20.8
"Ciudad_Neily",2022-01-01,19.8
"Ciudad_Neily",2022-02-01,18.2
"Ciudad_Neily",2022-03-01,20.5
"Ciudad_Neily",2022-04-01,21.1
"Ciudad_Neily",2022-05-01,21.8
"Ciudad_Neily",2022-06-01,21.1
"Ciudad_Neily",2022-07-01,20.9
"Ciudad_Neily",2022-08-01,22.2
"Ciudad_Neily",2022-09-01,21.2
"Ciudad_Neily",2022-10-01,22
