"location","index","date","value"
"Altamira","temp_max_C",2000-11-03,23.76
"Altamira","temp_max_C",2000-11-04,21.82
"Altamira","temp_max_C",2000-11-05,24.08
"Altamira","temp_max_C",2000-11-06,22.88
"Altamira","temp_max_C",2000-11-07,23.53
"Altamira","temp_max_C",2000-11-08,24.58
"Altamira","temp_max_C",2000-11-09,24.75
"Altamira","temp_max_C",2000-11-10,24.18
"Altamira","temp_max_C",2000-11-11,21.88
"Altamira","temp_max_C",2000-11-12,23.7
"Altamira","temp_max_C",2000-11-13,24.48
"Altamira","temp_max_C",2000-11-14,24.45
"Altamira","temp_max_C",2000-11-15,23.24
"Altamira","temp_max_C",2000-11-16,23.34
"Altamira","temp_max_C",2000-11-17,23.69
"Altamira","temp_max_C",2000-11-18,23.26
"Altamira","temp_max_C",2000-11-19,21.12
"Altamira","temp_max_C",2000-11-20,22.45
"Altamira","temp_max_C",2000-11-21,24.92
"Altamira","temp_max_C",2000-11-22,24.81
"Altamira","temp_max_C",2000-11-23,24.71
"Altamira","temp_max_C",2000-11-24,23.56
"Altamira","temp_max_C",2000-11-25,22.51
"Altamira","temp_max_C",2000-11-26,24.55
"Altamira","temp_max_C",2000-11-27,24.51
"Altamira","temp_max_C",2000-11-28,23.66
"Altamira","temp_max_C",2000-11-29,24.35
"Altamira","temp_max_C",2000-11-30,25.05
"Altamira","temp_max_C",2000-12-01,23.03
"Altamira","temp_max_C",2000-12-02,22.62
"Altamira","temp_max_C",2000-12-03,20.35
"Altamira","temp_max_C",2000-12-04,22.16
"Altamira","temp_max_C",2000-12-05,23.88
"Altamira","temp_max_C",2000-12-06,22.27
"Altamira","temp_max_C",2000-12-07,22.62
"Altamira","temp_max_C",2000-12-08,23.69
"Altamira","temp_max_C",2000-12-09,24.57
"Altamira","temp_max_C",2000-12-10,22.99
"Altamira","temp_max_C",2000-12-11,24.31
"Altamira","temp_max_C",2000-12-12,24.85
"Altamira","temp_max_C",2000-12-13,25.67
"Altamira","temp_max_C",2000-12-14,21.55
"Altamira","temp_max_C",2000-12-15,25.15
"Altamira","temp_max_C",2000-12-16,22.62
"Altamira","temp_max_C",2000-12-17,25.31
"Altamira","temp_max_C",2000-12-18,23.01
"Altamira","temp_max_C",2000-12-19,24.04
"Altamira","temp_max_C",2000-12-20,24.86
"Altamira","temp_max_C",2000-12-21,23.97
"Altamira","temp_max_C",2000-12-22,24.55
"Altamira","temp_max_C",2000-12-23,24.46
"Altamira","temp_max_C",2000-12-24,23.79
"Altamira","temp_max_C",2000-12-25,25.75
"Altamira","temp_max_C",2000-12-26,25.85
"Altamira","temp_max_C",2000-12-27,25.31
"Altamira","temp_max_C",2000-12-28,25.3
"Altamira","temp_max_C",2000-12-29,25.16
"Altamira","temp_max_C",2000-12-30,22.48
"Altamira","temp_max_C",2000-12-31,25.67
"Altamira","temp_max_C",2001-01-01,24.07
"Altamira","temp_max_C",2001-01-02,23.11
"Altamira","temp_max_C",2001-01-03,21.1
"Altamira","temp_max_C",2001-01-04,23.67
"Altamira","temp_max_C",2001-01-05,25.3
"Altamira","temp_max_C",2001-01-06,23.89
"Altamira","temp_max_C",2001-01-07,23.6
