interval_from,interval_to,LST,land_type,Id,land_type_label
2023-08-27,2023-08-28,295.3699951171875,10,Site-001,forest
2023-08-29,2023-08-30,293.94000244140625,10,Site-001,forest
2023-08-30,2023-08-31,296.8900146484375,10,Site-001,forest
2023-08-31,2023-09-01,299.8900146484375,10,Site-001,forest
2023-09-01,2023-09-02,293.2900085449219,10,Site-001,forest
2023-09-03,2023-09-04,289.7699890136719,10,Site-001,forest
2023-09-05,2023-09-06,293.239990234375,10,Site-001,forest
2023-09-07,2023-09-08,297.29998779296875,10,Site-001,forest
2023-09-08,2023-09-09,292.7200012207031,10,Site-001,forest
2023-09-10,2023-09-11,288.19000244140625,10,Site-001,forest
2023-09-12,2023-09-13,293.5400085449219,10,Site-001,forest
2023-09-14,2023-09-15,296.4599914550781,10,Site-001,forest
2023-09-15,2023-09-16,293.2900085449219,10,Site-001,forest
2023-09-16,2023-09-17,294.7900085449219,10,Site-001,forest
2023-09-17,2023-09-18,292.8299865722656,10,Site-001,forest
2023-09-19,2023-09-20,290.7799987792969,10,Site-001,forest
2023-09-21,2023-09-22,290.1000061035156,10,Site-001,forest
2023-09-23,2023-09-24,296.2200012207031,10,Site-001,forest
2023-09-24,2023-09-25,293.3500061035156,10,Site-001,forest
2023-09-26,2023-09-27,292.2200012207031,10,Site-001,forest
2023-09-28,2023-09-29,292.42999267578125,10,Site-001,forest
2023-09-30,2023-10-01,295.510009765625,10,Site-001,forest
2023-10-01,2023-10-02,290.6199951171875,10,Site-001,forest
2023-10-02,2023-10-03,295.19000244140625,10,Site-001,forest
2023-10-03,2023-10-04,285.6300048828125,10,Site-001,forest
2023-10-05,2023-10-06,284.3999938964844,10,Site-001,forest
2023-10-07,2023-10-08,293.5199890136719,10,Site-001,forest
2023-10-09,2023-10-10,291.95001220703125,10,Site-001,forest
2023-10-10,2023-10-11,292.7200012207031,10,Site-001,forest
2023-10-12,2023-10-13,288.3399963378906,10,Site-001,forest
2023-10-14,2023-10-15,287.44000244140625,10,Site-001,forest
2023-10-16,2023-10-17,292.4599914550781,10,Site-001,forest
2023-10-17,2023-10-18,290.82000732421875,10,Site-001,forest
2023-10-18,2023-10-19,292.4800109863281,10,Site-001,forest
2023-10-19,2023-10-20,292.45001220703125,10,Site-001,forest
2023-10-23,2023-10-24,291.760009765625,10,Site-001,forest
2023-10-25,2023-10-26,289.25,10,Site-001,forest
2023-10-26,2023-10-27,283.260009765625,10,Site-001,forest
2023-10-28,2023-10-29,288.67999267578125,10,Site-001,forest
2023-10-30,2023-10-31,285.3800048828125,10,Site-001,forest
2023-11-01,2023-11-02,289.25,10,Site-001,forest
2023-11-02,2023-11-03,290.9800109863281,10,Site-001,forest
2023-11-03,2023-11-04,294.8299865722656,10,Site-001,forest
2023-11-04,2023-11-05,291.5799865722656,10,Site-001,forest
2023-11-06,2023-11-07,289.79998779296875,10,Site-001,forest
2023-11-08,2023-11-09,293.2900085449219,10,Site-001,forest
2023-11-10,2023-11-11,295.29998779296875,10,Site-001,forest
2023-11-11,2023-11-12,293.6600036621094,10,Site-001,forest
2023-11-13,2023-11-14,293.4599914550781,10,Site-001,forest
2023-11-15,2023-11-16,293.3999938964844,10,Site-001,forest
2023-11-17,2023-11-18,292.0,10,Site-001,forest
2023-11-18,2023-11-19,291.6300048828125,10,Site-001,forest
2023-11-19,2023-11-20,291.8299865722656,10,Site-001,forest
2023-11-20,2023-11-21,292.260009765625,10,Site-001,forest
2023-11-22,2023-11-23,293.3800048828125,10,Site-001,forest
2023-11-24,2023-11-25,292.79998779296875,10,Site-001,forest
2023-11-26,2023-11-27,293.69000244140625,10,Site-001,forest
2023-11-27,2023-11-28,290.6400146484375,10,Site-001,forest
2023-11-29,2023-11-30,290.67999267578125,10,Site-001,forest
2023-12-01,2023-12-02,292.760009765625,10,Site-001,forest
2023-12-03,2023-12-04,295.2200012207031,10,Site-001,forest
2023-12-04,2023-12-05,292.239990234375,10,Site-001,forest
2023-12-05,2023-12-06,295.4700012207031,10,Site-001,forest
2023-12-06,2023-12-07,292.1499938964844,10,Site-001,forest
2023-12-08,2023-12-09,290.7799987792969,10,Site-001,forest
2023-12-10,2023-12-11,295.2799987792969,10,Site-001,forest
2023-12-12,2023-12-13,295.8800048828125,10,Site-001,forest
2023-12-13,2023-12-14,294.0899963378906,10,Site-001,forest
2023-12-15,2023-12-16,293.2900085449219,10,Site-001,forest
2023-12-17,2023-12-18,294.20001220703125,10,Site-001,forest
2023-12-19,2023-12-20,294.6000061035156,10,Site-001,forest
2023-12-20,2023-12-21,294.6700134277344,10,Site-001,forest
2023-12-21,2023-12-22,297.80999755859375,10,Site-001,forest
2023-12-22,2023-12-23,292.6600036621094,10,Site-001,forest
2023-12-24,2023-12-25,293.8399963378906,10,Site-001,forest
2023-12-26,2023-12-27,294.7300109863281,10,Site-001,forest
