interval_from,interval_to,LST,land_type,Id,land_type_label
2023-03-08,2023-03-09,293.9100036621094,10,Site-003,forest
2023-03-10,2023-03-11,302.489990234375,10,Site-003,forest
2023-03-12,2023-03-13,302.5899963378906,10,Site-003,forest
2023-03-13,2023-03-14,300.1300048828125,10,Site-003,forest
2023-03-14,2023-03-15,302.9100036621094,10,Site-003,forest
2023-03-15,2023-03-16,301.7200012207031,10,Site-003,forest
2023-03-17,2023-03-18,301.17999267578125,10,Site-003,forest
2023-03-19,2023-03-20,303.9200134277344,10,Site-003,forest
2023-03-21,2023-03-22,305.1300048828125,10,Site-003,forest
2023-03-22,2023-03-23,303.67999267578125,10,Site-003,forest
2023-03-24,2023-03-25,305.17999267578125,10,Site-003,forest
2023-03-26,2023-03-27,304.8099975585937,10,Site-003,forest
2023-03-28,2023-03-29,305.1700134277344,10,Site-003,forest
2023-03-29,2023-03-30,303.5199890136719,10,Site-003,forest
2023-03-30,2023-03-31,303.4800109863281,10,Site-003,forest
2023-03-31,2023-04-01,305.1700134277344,10,Site-003,forest
2023-01-01,2023-01-02,305.2799987792969,10,Site-004,forest
2023-01-03,2023-01-04,305.1099853515625,10,Site-004,forest
2023-01-05,2023-01-06,306.8500061035156,10,Site-004,forest
2023-01-07,2023-01-08,306.5199890136719,10,Site-004,forest
2023-01-08,2023-01-09,305.2300109863281,10,Site-004,forest
2023-01-09,2023-01-10,298.82000732421875,10,Site-004,forest
2023-01-10,2023-01-11,298.82000732421875,10,Site-004,forest
2023-01-12,2023-01-13,305.1099853515625,10,Site-004,forest
2023-01-14,2023-01-15,305.25,10,Site-004,forest
2023-01-16,2023-01-17,306.8399963378906,10,Site-004,forest
2023-01-17,2023-01-18,306.2699890136719,10,Site-004,forest
2023-01-19,2023-01-20,307.3800048828125,10,Site-004,forest
2023-01-21,2023-01-22,305.3900146484375,10,Site-004,forest
2023-01-23,2023-01-24,303.2799987792969,10,Site-004,forest
2023-01-24,2023-01-25,306.7200012207031,10,Site-004,forest
2023-01-25,2023-01-26,306.739990234375,10,Site-004,forest
2023-01-26,2023-01-27,307.29998779296875,10,Site-004,forest
2023-01-28,2023-01-29,309.1499938964844,10,Site-004,forest
2023-01-30,2023-01-31,308.8999938964844,10,Site-004,forest
